created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2024-03-06T20:01:34+00:00,1,25,0,28,0,0,0,28,0,,,,
2024-03-06T20:02:01+00:00,2,25,0,28,0,0,0,28,0,,,,
2024-03-06T20:02:36+00:00,3,25,0,28,0,0,0,28,0,,,,
2024-03-06T20:03:23+00:00,4,55,0,28,0,0,0,38,0,,,,
2024-03-06T20:04:03+00:00,5,55,0,28,0,0,0,38,1,,,,
2024-03-06T20:04:54+00:00,6,55,0,28,0,0,1,38,0,,,,
2024-03-06T20:06:32+00:00,7,55,0,28,0,1,0,38,0,,,,
2024-03-06T20:06:57+00:00,8,55,0,28,1,0,0,38,0,,,,
2024-03-06T20:07:36+00:00,9,55,0,38,0,0,0,38,0,,,,
2024-03-06T20:09:03+00:00,10,55,1,35,0,0,0,38,0,,,,
2024-03-06T20:09:27+00:00,11,55,1,35,0,0,0,38,0,,,,
2024-03-06T20:09:55+00:00,12,29,1,35,0,0,0,38,0,,,,
2024-03-06T20:10:19+00:00,13,29,1,35,0,0,0,38,0,,,,
2024-03-06T20:10:37+00:00,14,29,0,35,0,0,0,38,0,,,,
2024-03-07T07:43:36+00:00,15,29,0,35,0,0,0,38,0,,,,
2024-03-07T08:05:38+00:00,16,29,0,29,0,0,0,29,0,,,,
2024-03-07T08:05:54+00:00,17,31,1,31,0,0,0,31,0,,,,
2024-03-07T08:06:22+00:00,18,31,1,31,1,1,0,36.5,0,,,,
2024-03-07T08:06:45+00:00,19,31,1,31,1,0,1,36.5,1,,,,
2024-03-07T08:24:53+00:00,20,29,0,35,0,0,0,38,0,,,,
2024-03-07T08:41:50+00:00,21,29,0,35,0,0,0,38,0,,,,
2024-03-07T08:43:03+00:00,22,31,1,31,0,0,0,31,0,,,,
2024-03-07T08:44:09+00:00,23,32,1,41,1,0,0,36.5,0,,,,
2024-03-07T08:45:04+00:00,24,31,1,31,1,0,1,36.5,0,,,,
2024-03-07T08:45:47+00:00,25,31,1,31,1,0,1,36.5,1,,,,
2024-03-07T09:34:44+00:00,26,29,0,35,0,0,0,38,0,,,,
2024-03-07T09:35:03+00:00,27,31,1,31,1,0,1,36.5,0,,,,
2024-03-07T09:53:55+00:00,28,31,1,31,1,0,1,36.5,1,,,,
2024-03-07T11:35:09+00:00,29,29,0,29,0,0,0,29,0,,,,
2024-03-07T11:35:31+00:00,30,31,1,31,0,0,0,31,0,,,,
2024-03-07T11:35:47+00:00,31,31,1,31,1,0,1,36.5,0,,,,
